epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,126.794,0.04491,1,1,0.00081,0.000121152,0.000121152,0.000121152
81,128.269,0.04242,1,1,0.00072,0.000115648,0.000115648,0.000115648
82,129.956,0.01122,1,1,0.00071,0.000110144,0.000110144,0.000110144
83,131.461,0.0251,1,1,0.00054,0.000104639,0.000104639,0.000104639
84,132.945,0.02368,1,1,0.00044,9.91348e-05,9.91348e-05,9.91348e-05
85,134.447,0.02833,1,1,0.00041,9.36304e-05,9.36304e-05,9.36304e-05
86,135.765,0.02445,1,1,0.00031,8.8126e-05,8.8126e-05,8.8126e-05
87,137.289,0.02407,1,1,0.00028,8.26216e-05,8.26216e-05,8.26216e-05
88,138.838,0.02011,1,1,0.00024,7.71172e-05,7.71172e-05,7.71172e-05
89,140.422,0.0255,1,1,0.00013,7.16128e-05,7.16128e-05,7.16128e-05
90,141.931,0.03739,1,1,0.00017,6.61084e-05,6.61084e-05,6.61084e-05
91,143.931,0.02563,1,1,0.00026,6.0604e-05,6.0604e-05,6.0604e-05
92,145.569,0.04135,1,1,0.00034,5.50996e-05,5.50996e-05,5.50996e-05
93,147.027,0.0204,1,1,0.00021,4.95952e-05,4.95952e-05,4.95952e-05
94,148.629,0.0129,1,1,0.00033,4.40908e-05,4.40908e-05,4.40908e-05
95,150.218,0.00991,1,1,0.00015,3.85864e-05,3.85864e-05,3.85864e-05
96,151.755,0.02306,1,1,0.00021,3.3082e-05,3.3082e-05,3.3082e-05
97,153.311,0.01831,1,1,0.00018,2.75776e-05,2.75776e-05,2.75776e-05
98,154.999,0.03153,1,1,0.00023,2.20732e-05,2.20732e-05,2.20732e-05
99,156.51,0.02072,1,1,0.00016,1.65688e-05,1.65688e-05,1.65688e-05
100,158.08,0.02928,1,1,0.00023,1.10644e-05,1.10644e-05,1.10644e-05
